 P rel [bar] 	 Débit H2 [l/min.] 	 U [V] 	 I [A] 	 P [W] 	 Temp. [°C] 
0,733562 	 0,089225 	 15,310000 	 0,663000 	 10,150530 	 21,333619 
0,741906 	 0,080923 	 15,260000 	 0,668000 	 10,193680 	 21,832124 
0,734124 	 0,073370 	 15,220000 	 0,677000 	 10,303940 	 22,380880 
0,633040 	 0,102010 	 15,210000 	 0,676000 	 10,281960 	 22,548281 
0,639292 	 0,091549 	 15,130000 	 0,669000 	 10,121970 	 23,288793 
0,641284 	 0,102421 	 15,060000 	 0,678000 	 10,210680 	 23,457427 
0,623401 	 0,103989 	 14,990000 	 0,691000 	 10,358090 	 23,756468 
0,654077 	 0,092977 	 14,970000 	 0,695000 	 10,404150 	 23,799629 
0,629833 	 0,106076 	 14,950000 	 0,694000 	 10,375300 	 24,063525 
0,624150 	 0,102757 	 14,900000 	 0,707000 	 10,534300 	 24,237092 
0,621961 	 0,101820 	 14,900000 	 0,709000 	 10,564100 	 24,343452 
0,621307 	 0,111880 	 14,900000 	 0,715000 	 10,653500 	 24,463376 
0,636669 	 0,109592 	 14,860000 	 0,730000 	 10,847800 	 24,530892 
0,627002 	 0,089100 	 14,830000 	 0,728000 	 10,796240 	 24,561412 
0,621513 	 0,099406 	 14,810000 	 0,753000 	 11,151930 	 24,542298 
0,619788 	 0,098167 	 14,810000 	 0,753000 	 11,151930 	 24,592550 
0,633784 	 0,090254 	 14,770000 	 0,775000 	 11,446750 	 24,636635 
0,640594 	 0,097675 	 14,740000 	 0,789000 	 11,629860 	 24,659449 
0,639646 	 0,098525 	 14,730000 	 0,795000 	 11,710350 	 24,643726 
0,638694 	 0,110267 	 14,690000 	 0,818000 	 12,016420 	 24,782456 
0,621230 	 0,110544 	 14,670000 	 0,832000 	 12,205440 	 24,778448 
0,625872 	 0,100097 	 14,620000 	 0,860000 	 12,573200 	 24,800337 
0,616056 	 0,090234 	 14,580000 	 0,881000 	 12,844980 	 24,873402 
0,632529 	 0,109033 	 14,590000 	 0,884000 	 12,897560 	 24,898681 
0,620344 	 0,100202 	 14,540000 	 0,919000 	 13,362260 	 24,923653 
0,632592 	 0,107721 	 14,520000 	 0,933000 	 13,547160 	 24,941842 
0,609931 	 0,093727 	 14,470000 	 0,966000 	 13,978020 	 25,083963 
0,606733 	 0,111392 	 14,500000 	 0,966000 	 14,007000 	 25,205430 
0,623415 	 0,096609 	 14,390000 	 1,028000 	 14,792920 	 25,234409 
0,616745 	 0,119232 	 14,280000 	 1,119000 	 15,979320 	 25,224544 
0,605595 	 0,121353 	 14,280000 	 1,122000 	 16,022160 	 25,173367 
0,617061 	 0,088277 	 14,140000 	 1,217000 	 17,208380 	 25,276953 
0,611682 	 0,164801 	 14,000000 	 1,335000 	 18,690000 	 25,361116 
0,597984 	 0,174890 	 13,840000 	 1,482000 	 20,510880 	 25,310556 
0,577552 	 0,180978 	 13,640000 	 1,728000 	 23,569920 	 25,434797 
0,582861 	 0,220584 	 13,350000 	 2,042000 	 27,260700 	 25,487823 
0,560034 	 0,284452 	 13,160000 	 2,391000 	 31,465560 	 25,725514 
0,551701 	 0,314174 	 12,770000 	 2,952000 	 37,697040 	 25,857462 
0,539459 	 0,352299 	 12,410000 	 3,485000 	 43,248850 	 26,087755 
0,513995 	 0,476966 	 12,030000 	 4,120000 	 49,563600 	 26,447529 
0,490917 	 0,596543 	 11,280000 	 5,257000 	 59,298960 	 26,730230 
0,419728 	 0,771502 	 10,270000 	 6,930000 	 71,171100 	 27,150737 
0,379132 	 0,999336 	 9,170000 	 8,810000 	 80,787700 	 29,206721 
